cell,cycle,dcir,soc,temperature
B0027,36,0.080479,1.8191618703574552,42.17255085984642
B0029,1,0.111166,1.697507332205763,43.40626577176862
B0029,3,0.107639,1.844701206961174,44.65675516231354
B0029,5,0.10758,1.8254376674722927,44.703793008883345
B0029,7,0.107405,1.815750429913437,44.70747744688631
B0029,9,0.107344,1.8132993337127028,44.69471969782321
B0029,13,0.107633,1.8151647619660576,44.65632079442231
B0029,15,0.107407,1.8143317955190057,44.68760486959879
B0029,17,0.107664,1.801343601809866,44.691531219824874
B0029,19,0.107888,1.7881558802945825,44.67861736442547
B0029,21,0.107794,1.7760714604539518,44.691080314771256
B0029,25,0.107851,1.7852807447597443,44.6922054528957
B0029,27,0.107911,1.7698116401111978,44.697471358923025
B0029,29,0.108448,1.7565231680521758,44.731533272241506
B0029,31,0.108685,1.7543413277348154,44.69205735929864
B0029,33,0.108862,1.7392875506998715,44.72237198935258
B0029,37,0.109574,1.7797845109331345,44.643414385114724
B0029,39,0.109371,1.7657088508465202,44.659869952836516
B0029,41,0.109545,1.7523941408724169,44.68666896928979
B0029,43,0.109644,1.7380191225603105,44.68980860796224
B0029,45,0.109984,1.7312214443143976,44.68982543817814
B0029,49,0.110112,1.7379128985265808,44.630428830517836
B0029,51,0.11046,1.7224270683625882,44.71415991617437
B0029,53,0.110821,1.7184213765608034,44.74796707774604
B0029,55,0.110989,1.7010220930648232,44.74421977188721
B0029,57,0.111353,1.693698739563104,44.727940768049365
B0029,61,0.111215,1.713072721286705,44.69405612985792
B0029,63,0.111389,1.6976972688567131,44.72511673318959
B0029,65,0.111798,1.6899314034061208,44.68775663633952
B0029,67,0.112379,1.685023551367069,44.67228898285107
B0029,69,0.112658,1.678389965463405,44.66940974573534
B0029,73,0.112594,1.6737947494868326,44.642564326357345
B0029,75,0.112878,1.6687898927884715,44.672174027054936
B0029,77,0.113352,1.6492566306631427,44.650393271280834
B0029,79,0.113585,1.6409676757039668,44.66166028239045
B0029,81,0.113927,1.6456360229757092,44.67197301409441
B0029,85,0.113863,1.654547743574037,44.629281427169275
B0029,87,0.114162,1.6461201520877546,44.70040320319792
B0029,89,0.114473,1.6275119188151763,44.64342273872713
B0029,91,0.114877,1.6200530533464497,44.72318593880648
B0029,93,0.115201,1.612079811711934,44.66301381472874
B0030,1,0.115341,1.6560706096175404,43.152385790022294
B0030,3,0.112495,1.7815548749509116,44.55057915751884
B0030,5,0.112171,1.761969227822918,44.60400022940282
B0030,7,0.11219,1.751755031874225,44.61466076152569
B0030,9,0.112006,1.7381688070362076,44.60985621547061
B0030,13,0.112033,1.7506745293461339,44.586012876295115
B0030,15,0.111991,1.7491047649061158,44.618842215325756
B0030,17,0.112166,1.7252544028765475,44.6178006161624
B0030,19,0.112538,1.7112621367644252,44.60724040281432
B0030,21,0.112532,1.6990418392711273,44.62895122356867
B0030,25,0.112509,1.7185770039532977,44.61876601472716
B0030,27,0.112602,1.70324722921867,44.6290146536895
B0030,29,0.112908,1.689458044662304,44.63518276848597
B0030,31,0.113014,1.6756136292719177,44.61408204266439
B0030,33,0.113227,1.6718407140871654,44.624665823870856
B0030,37,0.113091,1.7233056681204446,44.56326262853694
B0030,39,0.113213,1.709207290507283,44.60801290250589
B0030,41,0.113628,1.684001734344571,44.6218039286095
B0030,43,0.113841,1.66898698813004,44.62370043456627
B0030,45,0.113952,1.6620689362837142,44.633104163960176
B0030,51,0.114273,1.652762183550463,44.633491087453194
B0030,53,0.114453,1.648481366235244,44.69726563272465
B0030,55,0.114898,1.6307406443132095,44.64880695403803
B0030,57,0.114979,1.62323023017929,44.65075383905734
B0030,63,0.115161,1.638514396616985,44.65138993400648
B0030,65,0.115387,1.618847673357618,44.63394810500298
B0030,67,0.115742,1.6134212267751404,44.58616484972709
B0030,69,0.116039,1.6066443601761986,44.63882940473298
B0030,73,0.116102,1.6138387876938998,44.558815031633614
B0030,75,0.116293,1.596329501327274,44.59895717122263
B0030,77,0.116596,1.5890785867406987,44.60072493720745
B0030,79,0.11696,1.5805481432309574,44.606576928966646
B0030,81,0.117097,1.5846131054270807,44.63055705559273
B0030,85,0.116891,1.5936651221220735,44.56498735911465
B0030,87,0.117197,1.5849874126960888,44.60920447583662
B0030,91,0.117831,1.570705516096967,44.67186464386162
B0030,93,0.117904,1.562780404428482,44.59631266869645
B0031,1,0.115002,1.6666751942525773,42.83746343556693
B0031,3,0.112254,1.8328583629543174,44.30088521012292
B0031,5,0.111699,1.8139835002945137,44.34086545841149
B0031,7,0.111509,1.8044387333514835,44.36999190156683
B0031,9,0.1115,1.802147684291295,44.37418944032786
B0031,13,0.111181,1.7715647509798835,44.30711469547115
B0031,15,0.111244,1.8139928165779542,44.35989201809373
B0031,17,0.111446,1.8013261041198854,44.35528716856644
B0031,19,0.111546,1.7883722583933568,44.34201803679069
B0031,21,0.111711,1.7765401657373159,44.3479986805051
B0031,25,0.111559,1.7856209131823229,44.32727532520672
B0031,27,0.111646,1.7813634036685941,44.353705438737805
B0031,29,0.111852,1.7684898383971241,44.34703866350702
B0031,31,0.112006,1.766505238291406,44.34064154943846
B0031,33,0.112235,1.751740527921767,44.354445173178064
B0031,37,0.111768,1.7352349314055016,44.287842733511
B0031,39,0.112071,1.7782778274549178,44.32034939655615
B0031,41,0.112404,1.7649894859707393,44.32225352667264
B0031,43,0.112694,1.762591283533551,44.33345003023547
B0031,45,0.112777,1.744314576121582,44.31558221016735
B0031,49,0.112596,1.7628373753518478,44.27500624240207
B0031,51,0.112801,1.747857930947971,44.338088141973124
B0031,53,0.113178,1.7441167338864993,44.38005575249537
B0031,55,0.113268,1.7268422932817387,44.350792998541806
B0031,57,0.113461,1.7203093493042265,44.33527630224927
B0031,61,0.113296,1.7394245516699778,44.321982471397064
B0031,63,0.1135,1.7367384416372014,44.335640908198386
B0031,65,0.113871,1.716963468448543,44.31789791986238
B0031,67,0.114096,1.7127773558366357,44.294406126890884
B0031,69,0.114326,1.7061083466554066,44.302021606946646
B0031,73,0.11421,1.713732696207521,44.259573268062624
B0031,75,0.114362,1.7093475797926974,44.29229687154297
B0031,77,0.114955,1.6901000454115587,44.27297575844494
B0031,79,0.115043,1.6946883343387664,44.29374100507224
B0031,81,0.115358,1.687010991299212,44.302663090480976
B0031,85,0.114721,1.6957069027070075,44.24728008194816
B0031,87,0.115066,1.687696889615565,44.29034777571366
B0031,89,0.115433,1.6819617127259294,44.27776422480544
B0031,91,0.115682,1.6750033888978846,44.321421204721304
B0031,93,0.115968,1.6672987794846676,44.27909841111377
B0032,1,0.1229,1.7048641073512139,43.25683175903665
B0032,3,0.12075,1.8940319526948572,44.393010202872254
B0032,5,0.12005,1.8747686491853095,44.42600734390719
B0032,7,0.120054,1.8654947184112376,44.43358734434057
B0032,9,0.119911,1.8527398169018068,44.41711926456754
B0032,13,0.12087,1.844174397003866,44.37941292443623
B0032,15,0.120834,1.8430238477512753,44.42226254081613
B0032,17,0.121224,1.8302818174911863,44.417578825569684
B0032,19,0.121425,1.8173838456081814,44.41767055951958
B0032,21,0.121584,1.8057992981104682,44.42440180577051
B0032,25,0.121679,1.8149829605049186,44.403748475386195
B0032,27,0.121819,1.7995150369321797,44.39805639027924
B0032,29,0.122391,1.7866516942518147,44.43457950870971
B0032,31,0.122674,1.7735550719416031,44.42499787965205
B0032,37,0.123193,1.799526080374287,44.39020318316664
B0032,39,0.12304,1.7968530684449833,44.38622768250236
B0032,41,0.123663,1.7838265504081745,44.4051269140013
B0032,43,0.123969,1.7696444491040102,44.432252684072616
B0032,45,0.124257,1.7512940457049684,44.414900411879636
B0032,49,0.124094,1.7697554297961993,44.38698493697691
B0032,51,0.124728,1.7547726933914918,44.435051057028076
B0032,53,0.125185,1.7389166355812984,44.46139907922496
B0032,55,0.125679,1.7337200518764075,44.46106444607081
B0032,57,0.125808,1.7150972597500092,44.44251952653499
B0032,65,0.12633,1.711582246191498,44.430851036227075
B0032,67,0.126783,1.6951051195225901,44.429060513945366
B0032,69,0.127288,1.7005124371100973,44.39853762644303
B0032,73,0.127253,1.7080989351250158,44.374969135298315
B0032,79,0.128238,1.664037581688075,44.4095254053095
B0032,85,0.12812,1.6899344075625968,44.377969189615094
B0032,89,0.129124,1.6634226761839213,44.401138551434656
B0032,91,0.129347,1.6436152195947373,44.43892324434497
B0032,93,0.129725,1.6358000873538245,44.41205349181541
B0033,0,0.285168,0.06842572240601812,23.709046954662966
B0033,4,0.238633,0.6895699007862814,25.175751632508828
B0033,6,0.224415,1.1610848192311252,24.982438023452065
